unit,age,sex,geotime,date,value
PC,Y_LT18,T,ES,2008-01-01,30
PC,Y_LT18,T,ES,2009-01-01,32
PC,Y_LT18,T,ES,2010-01-01,33
PC,Y_LT18,T,ES,2011-01-01,32
PC,Y_LT18,T,ES,2012-01-01,32
PC,Y_LT18,T,ES,2013-01-01,32
PC,Y_LT18,T,ES,2014-01-01,35
PC,Y_LT18,T,ES,2015-01-01,
PC,Y_LT18,T,ES,2016-01-01,32
PC,Y_LT18,T,ES,2017-01-01,31
PC,Y_LT18,T,EU27,2006-01-01,27
PC,Y_LT18,T,EU27,2007-01-01,26
PC,Y_LT18,T,EU27,2008-01-01,26
PC,Y_LT18,T,EU27,2009-01-01,26
PC,Y_LT18,T,EU27,2010-01-01,27
PC,Y_LT18,T,EU27,2011-01-01,27
PC,Y_LT18,T,EU27,2012-01-01,28
PC,Y_LT18,T,EU27,2013-01-01,27
PC,Y_LT18,T,EU27,2014-01-01,27
PC,Y_LT18,T,EU27,2015-01-01,
PC,Y_LT18,T,EU27,2016-01-01,26
PC,Y_LT18,T,EU27,2017-01-01,24
PC,Y_LT18,T,EU28,2006-01-01,
PC,Y_LT18,T,EU28,2007-01-01,
PC,Y_LT18,T,EU28,2008-01-01,
PC,Y_LT18,T,EU28,2009-01-01,
PC,Y_LT18,T,EU28,2010-01-01,27
PC,Y_LT18,T,EU28,2011-01-01,27
PC,Y_LT18,T,EU28,2012-01-01,28
PC,Y_LT18,T,EU28,2013-01-01,27
PC,Y_LT18,T,EU28,2014-01-01,27
PC,Y_LT18,T,EU28,2015-01-01,
PC,Y_LT18,T,EU28,2016-01-01,26
PC,Y_LT18,T,EU28,2017-01-01,24
PC,Y_LT18,T,FI,2006-01-01,13
PC,Y_LT18,T,FI,2007-01-01,15
PC,Y_LT18,T,FI,2008-01-01,15
PC,Y_LT18,T,FI,2009-01-01,14
PC,Y_LT18,T,FI,2010-01-01,14
PC,Y_LT18,T,FI,2011-01-01,16
PC,Y_LT18,T,FI,2012-01-01,14
PC,Y_LT18,T,FI,2013-01-01,13
PC,Y_LT18,T,FI,2014-01-01,15
PC,Y_LT18,T,FI,2015-01-01,
PC,Y_LT18,T,FI,2016-01-01,14
PC,Y_LT18,T,FI,2017-01-01,15
PC,Y_LT18,T,FR,2006-01-01,18
PC,Y_LT18,T,FR,2007-01-01,19
PC,Y_LT18,T,FR,2008-01-01,21
PC,Y_LT18,T,FR,2009-01-01,21
PC,Y_LT18,T,FR,2010-01-01,22
PC,Y_LT18,T,FR,2011-01-01,23
PC,Y_LT18,T,FR,2012-01-01,23
PC,Y_LT18,T,FR,2013-01-01,20
PC,Y_LT18,T,FR,2014-01-01,21
PC,Y_LT18,T,FR,2015-01-01,
PC,Y_LT18,T,FR,2016-01-01,22
PC,Y_LT18,T,FR,2017-01-01,22
PC,Y_LT18,T,HR,2006-01-01,
PC,Y_LT18,T,HR,2007-01-01,
PC,Y_LT18,T,HR,2008-01-01,
PC,Y_LT18,T,HR,2009-01-01,
PC,Y_LT18,T,HR,2010-01-01,29
PC,Y_LT18,T,HR,2011-01-01,31
PC,Y_LT18,T,HR,2012-01-01,34
PC,Y_LT18,T,HR,2013-01-01,29
PC,Y_LT18,T,HR,2014-01-01,29
PC,Y_LT18,T,HR,2015-01-01,
PC,Y_LT18,T,HR,2016-01-01,26
PC,Y_LT18,T,HR,2017-01-01,
PC,Y_LT18,T,HU,2006-01-01,37
PC,Y_LT18,T,HU,2007-01-01,34
PC,Y_LT18,T,HU,2008-01-01,33
PC,Y_LT18,T,HU,2009-01-01,37
PC,Y_LT18,T,HU,2010-01-01,38
PC,Y_LT18,T,HU,2011-01-01,40
PC,Y_LT18,T,HU,2012-01-01,41
PC,Y_LT18,T,HU,2013-01-01,43
PC,Y_LT18,T,HU,2014-01-01,41
PC,Y_LT18,T,HU,2015-01-01,
PC,Y_LT18,T,HU,2016-01-01,33
PC,Y_LT18,T,HU,2017-01-01,31
PC,Y_LT18,T,IE,2006-01-01,28
PC,Y_LT18,T,IE,2007-01-01,26
PC,Y_LT18,T,IE,2008-01-01,26
PC,Y_LT18,T,IE,2009-01-01,31
PC,Y_LT18,T,IE,2010-01-01,34
PC,Y_LT18,T,IE,2011-01-01,34
PC,Y_LT18,T,IE,2012-01-01,33
PC,Y_LT18,T,IE,2013-01-01,34
PC,Y_LT18,T,IE,2014-01-01,30
PC,Y_LT18,T,IE,2015-01-01,
PC,Y_LT18,T,IE,2016-01-01,27
PC,Y_LT18,T,IE,2017-01-01,
PC,Y_LT18,T,IS,2006-01-01,14
PC,Y_LT18,T,IS,2007-01-01,15
PC,Y_LT18,T,IS,2008-01-01,13
PC,Y_LT18,T,IS,2009-01-01,11
PC,Y_LT18,T,IS,2010-01-01,16
PC,Y_LT18,T,IS,2011-01-01,16
PC,Y_LT18,T,IS,2012-01-01,16
PC,Y_LT18,T,IS,2013-01-01,16
PC,Y_LT18,T,IS,2014-01-01,13
PC,Y_LT18,T,IS,2015-01-01,
PC,Y_LT18,T,IS,2016-01-01,14
PC,Y_LT18,T,IS,2017-01-01,
PC,Y_LT18,T,IT,2006-01-01,28
PC,Y_LT18,T,IT,2007-01-01,28
PC,Y_LT18,T,IT,2008-01-01,28
PC,Y_LT18,T,IT,2009-01-01,28
PC,Y_LT18,T,IT,2010-01-01,29
PC,Y_LT18,T,IT,2011-01-01,31
PC,Y_LT18,T,IT,2012-01-01,34
PC,Y_LT18,T,IT,2013-01-01,32
PC,Y_LT18,T,IT,2014-01-01,32
PC,Y_LT18,T,IT,2015-01-01,
PC,Y_LT18,T,IT,2016-01-01,33
