age,unit,sex,indic_em,geotime,date,value
Y15-24,PC_POP,T,EMP_LFS,ES,2007-01-01,39
Y15-24,PC_POP,T,EMP_LFS,ES,2008-01-01,36
Y15-24,PC_POP,T,EMP_LFS,ES,2009-01-01,28
Y15-24,PC_POP,T,EMP_LFS,ES,2010-01-01,25
Y15-24,PC_POP,T,EMP_LFS,ES,2011-01-01,22
Y15-24,PC_POP,T,EMP_LFS,ES,2012-01-01,18
Y15-24,PC_POP,T,EMP_LFS,ES,2013-01-01,16
Y15-24,PC_POP,T,EMP_LFS,ES,2014-01-01,16
Y15-24,PC_POP,T,EMP_LFS,ES,2015-01-01,17
Y15-24,PC_POP,T,EMP_LFS,ES,2016-01-01,18
Y15-24,PC_POP,T,EMP_LFS,ES,2017-01-01,20
Y15-24,PC_POP,T,EMP_LFS,EU27,2005-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EU27,2006-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EU27,2007-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EU27,2008-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EU27,2009-01-01,35
Y15-24,PC_POP,T,EMP_LFS,EU27,2010-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EU27,2011-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU27,2012-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU27,2013-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU27,2014-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU27,2015-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU27,2016-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EU27,2017-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EU28,2005-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EU28,2006-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EU28,2007-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EU28,2008-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EU28,2009-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EU28,2010-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU28,2011-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU28,2012-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU28,2013-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU28,2014-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EU28,2015-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU28,2016-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EU28,2017-01-01,34
Y15-24,PC_POP,T,EMP_LFS,FI,2005-01-01,40
Y15-24,PC_POP,T,EMP_LFS,FI,2006-01-01,42
Y15-24,PC_POP,T,EMP_LFS,FI,2007-01-01,44
Y15-24,PC_POP,T,EMP_LFS,FI,2008-01-01,44
Y15-24,PC_POP,T,EMP_LFS,FI,2009-01-01,39
Y15-24,PC_POP,T,EMP_LFS,FI,2010-01-01,38
Y15-24,PC_POP,T,EMP_LFS,FI,2011-01-01,40
Y15-24,PC_POP,T,EMP_LFS,FI,2012-01-01,41
Y15-24,PC_POP,T,EMP_LFS,FI,2013-01-01,41
Y15-24,PC_POP,T,EMP_LFS,FI,2014-01-01,41
Y15-24,PC_POP,T,EMP_LFS,FI,2015-01-01,40
Y15-24,PC_POP,T,EMP_LFS,FI,2016-01-01,41
Y15-24,PC_POP,T,EMP_LFS,FI,2017-01-01,42
Y15-24,PC_POP,T,EMP_LFS,FR,2005-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2006-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2007-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2008-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2009-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2010-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2011-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2012-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2013-01-01,
Y15-24,PC_POP,T,EMP_LFS,FR,2014-01-01,27
Y15-24,PC_POP,T,EMP_LFS,FR,2015-01-01,27
Y15-24,PC_POP,T,EMP_LFS,FR,2016-01-01,27
Y15-24,PC_POP,T,EMP_LFS,FR,2017-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2005-01-01,30
Y15-24,PC_POP,T,EMP_LFS,FX,2006-01-01,30
Y15-24,PC_POP,T,EMP_LFS,FX,2007-01-01,31
Y15-24,PC_POP,T,EMP_LFS,FX,2008-01-01,31
Y15-24,PC_POP,T,EMP_LFS,FX,2009-01-01,30
Y15-24,PC_POP,T,EMP_LFS,FX,2010-01-01,30
Y15-24,PC_POP,T,EMP_LFS,FX,2011-01-01,29
Y15-24,PC_POP,T,EMP_LFS,FX,2012-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2013-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2014-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2015-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2016-01-01,28
Y15-24,PC_POP,T,EMP_LFS,FX,2017-01-01,29
Y15-24,PC_POP,T,EMP_LFS,HR,2005-01-01,26
Y15-24,PC_POP,T,EMP_LFS,HR,2006-01-01,26
Y15-24,PC_POP,T,EMP_LFS,HR,2007-01-01,27
Y15-24,PC_POP,T,EMP_LFS,HR,2008-01-01,28
Y15-24,PC_POP,T,EMP_LFS,HR,2009-01-01,27
Y15-24,PC_POP,T,EMP_LFS,HR,2010-01-01,24
Y15-24,PC_POP,T,EMP_LFS,HR,2011-01-01,20
Y15-24,PC_POP,T,EMP_LFS,HR,2012-01-01,17
Y15-24,PC_POP,T,EMP_LFS,HR,2013-01-01,14
Y15-24,PC_POP,T,EMP_LFS,HR,2014-01-01,18
Y15-24,PC_POP,T,EMP_LFS,HR,2015-01-01,19
Y15-24,PC_POP,T,EMP_LFS,HR,2016-01-01,25
