unit,hhtyp,geotime,date,value
PC,A2,EA19,2014-01-01,2.8
PC,A2,EA19,2015-01-01,3.1
PC,A2,EA19,2016-01-01,2.9
PC,A2,EA19,2017-01-01,2.9
PC,A2,EE,2006-01-01,18.4
PC,A2,EE,2007-01-01,18.7
PC,A2,EE,2008-01-01,20.0
PC,A2,EE,2009-01-01,18.5
PC,A2,EE,2010-01-01,16.7
PC,A2,EE,2011-01-01,3.9
PC,A2,EE,2012-01-01,3.4
PC,A2,EE,2013-01-01,8.1
PC,A2,EE,2014-01-01,3.2
PC,A2,EE,2015-01-01,2.7
PC,A2,EE,2016-01-01,3.0
PC,A2,EE,2017-01-01,3.5
PC,A2,EL,2006-01-01,9.4
PC,A2,EL,2007-01-01,8.5
PC,A2,EL,2008-01-01,8.8
PC,A2,EL,2009-01-01,8.1
PC,A2,EL,2010-01-01,6.7
PC,A2,EL,2011-01-01,6.4
PC,A2,EL,2012-01-01,7.5
PC,A2,EL,2013-01-01,7.9
PC,A2,EL,2014-01-01,6.8
PC,A2,EL,2015-01-01,6.5
PC,A2,EL,2016-01-01,6.3
PC,A2,EL,2017-01-01,6.0
PC,A2,ES,2006-01-01,0.2
PC,A2,ES,2007-01-01,0.8
PC,A2,ES,2008-01-01,0.6
PC,A2,ES,2009-01-01,0.4
PC,A2,ES,2010-01-01,0.6
PC,A2,ES,2011-01-01,0.9
PC,A2,ES,2012-01-01,0.5
PC,A2,ES,2013-01-01,0.8
PC,A2,ES,2014-01-01,0.9
PC,A2,ES,2015-01-01,0.6
PC,A2,ES,2016-01-01,0.7
PC,A2,ES,2017-01-01,1.0
PC,A2,EU27,2006-01-01,4.9
PC,A2,EU27,2007-01-01,4.6
PC,A2,EU27,2008-01-01,4.6
PC,A2,EU27,2009-01-01,4.3
PC,A2,EU27,2010-01-01,4.3
PC,A2,EU27,2011-01-01,4.0
PC,A2,EU27,2012-01-01,3.9
PC,A2,EU27,2013-01-01,4.4
PC,A2,EU27,2014-01-01,4.1
PC,A2,EU27,2015-01-01,4.3
PC,A2,EU27,2016-01-01,4.2
PC,A2,EU27,2017-01-01,4.6
PC,A2,EU28,2006-01-01,
PC,A2,EU28,2007-01-01,
PC,A2,EU28,2008-01-01,
PC,A2,EU28,2009-01-01,
PC,A2,EU28,2010-01-01,4.4
PC,A2,EU28,2011-01-01,4.1
PC,A2,EU28,2012-01-01,4.0
PC,A2,EU28,2013-01-01,4.5
PC,A2,EU28,2014-01-01,4.2
PC,A2,EU28,2015-01-01,4.4
PC,A2,EU28,2016-01-01,4.3
PC,A2,EU28,2017-01-01,4.6
PC,A2,FI,2006-01-01,2.0
PC,A2,FI,2007-01-01,1.9
PC,A2,FI,2008-01-01,1.3
PC,A2,FI,2009-01-01,1.2
PC,A2,FI,2010-01-01,1.8
PC,A2,FI,2011-01-01,1.9
PC,A2,FI,2012-01-01,1.8
PC,A2,FI,2013-01-01,2.4
