na_item,s_adj,unit,geo\time,date,value
P3_S13,SCA,MIO_EUR_SCA,EL,2017-10-01,8972.9 p
P3_S13,SCA,MIO_EUR_SCA,EL,2018-01-01,8973.7 p
P3_S13,SCA,MIO_EUR_SCA,EL,2018-04-01,8971.2 p
P3_S13,SCA,MIO_EUR_SCA,ES,2015-07-01,52413.0
P3_S13,SCA,MIO_EUR_SCA,ES,2015-10-01,52736.0
P3_S13,SCA,MIO_EUR_SCA,ES,2016-01-01,52593.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2016-04-01,52799.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2016-07-01,52880.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2016-10-01,52969.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2017-01-01,53430.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2017-04-01,53709.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2017-07-01,54093.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2017-10-01,54458.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2018-01-01,54691.0 p
P3_S13,SCA,MIO_EUR_SCA,ES,2018-04-01,54955.0 p
P3_S13,SCA,MIO_EUR_SCA,EU28,2015-07-01,761286.8
P3_S13,SCA,MIO_EUR_SCA,EU28,2015-10-01,763266.6
P3_S13,SCA,MIO_EUR_SCA,EU28,2016-01-01,761330.0 
P3_S13,SCA,MIO_EUR_SCA,EU28,2016-04-01,762846.8 
P3_S13,SCA,MIO_EUR_SCA,EU28,2016-07-01,756699.8 
P3_S13,SCA,MIO_EUR_SCA,EU28,2016-10-01,759183.9 
P3_S13,SCA,MIO_EUR_SCA,EU28,2017-01-01,766891.4 
P3_S13,SCA,MIO_EUR_SCA,EU28,2017-04-01,771720.5 
P3_S13,SCA,MIO_EUR_SCA,EU28,2017-07-01,773336.1 
P3_S13,SCA,MIO_EUR_SCA,EU28,2017-10-01,780074.5 
P3_S13,SCA,MIO_EUR_SCA,EU28,2018-01-01,785348.8 
P3_S13,SCA,MIO_EUR_SCA,EU28,2018-04-01,792054.1 
P3_S13,SCA,MIO_EUR_SCA,FI,2015-07-01,12769.0
P3_S13,SCA,MIO_EUR_SCA,FI,2015-10-01,12845.0
P3_S13,SCA,MIO_EUR_SCA,FI,2016-01-01,12911.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2016-04-01,12836.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2016-07-01,12759.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2016-10-01,13056.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2017-01-01,12716.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2017-04-01,12800.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2017-07-01,12918.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2017-10-01,12799.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2018-01-01,13059.0 
P3_S13,SCA,MIO_EUR_SCA,FI,2018-04-01,13144.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2015-07-01,130901.0
P3_S13,SCA,MIO_EUR_SCA,FR,2015-10-01,131220.0
P3_S13,SCA,MIO_EUR_SCA,FR,2016-01-01,131594.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2016-04-01,131906.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2016-07-01,132677.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2016-10-01,133218.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2017-01-01,134176.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2017-04-01,134791.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2017-07-01,135498.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2017-10-01,135869.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2018-01-01,136162.0 
P3_S13,SCA,MIO_EUR_SCA,FR,2018-04-01,136489.0 
P3_S13,SCA,MIO_EUR_SCA,HR,2015-07-01,2225.6
P3_S13,SCA,MIO_EUR_SCA,HR,2015-10-01,2218.2
P3_S13,SCA,MIO_EUR_SCA,HR,2016-01-01,2224.8 
P3_S13,SCA,MIO_EUR_SCA,HR,2016-04-01,2263.8 
P3_S13,SCA,MIO_EUR_SCA,HR,2016-07-01,2290.0 
P3_S13,SCA,MIO_EUR_SCA,HR,2016-10-01,2274.3 
P3_S13,SCA,MIO_EUR_SCA,HR,2017-01-01,2335.5 
P3_S13,SCA,MIO_EUR_SCA,HR,2017-04-01,2389.5 
P3_S13,SCA,MIO_EUR_SCA,HR,2017-07-01,2417.7 
P3_S13,SCA,MIO_EUR_SCA,HR,2017-10-01,2407.0 
P3_S13,SCA,MIO_EUR_SCA,HR,2018-01-01,2475.1 
P3_S13,SCA,MIO_EUR_SCA,HR,2018-04-01,2527.9 
P3_S13,SCA,MIO_EUR_SCA,HU,2015-07-01,5462.6
P3_S13,SCA,MIO_EUR_SCA,HU,2015-10-01,5572.0
P3_S13,SCA,MIO_EUR_SCA,HU,2016-01-01,5734.0 
P3_S13,SCA,MIO_EUR_SCA,HU,2016-04-01,5730.6 
P3_S13,SCA,MIO_EUR_SCA,HU,2016-07-01,5737.3 
P3_S13,SCA,MIO_EUR_SCA,HU,2016-10-01,5823.3 
P3_S13,SCA,MIO_EUR_SCA,HU,2017-01-01,5913.3 
P3_S13,SCA,MIO_EUR_SCA,HU,2017-04-01,6184.0 
P3_S13,SCA,MIO_EUR_SCA,HU,2017-07-01,6446.2 
P3_S13,SCA,MIO_EUR_SCA,HU,2017-10-01,6568.6 
P3_S13,SCA,MIO_EUR_SCA,HU,2018-01-01,6494.8 
P3_S13,SCA,MIO_EUR_SCA,HU,2018-04-01,6399.8 
P3_S13,SCA,MIO_EUR_SCA,IE,2015-07-01,8049.2
P3_S13,SCA,MIO_EUR_SCA,IE,2015-10-01,8166.1
P3_S13,SCA,MIO_EUR_SCA,IE,2016-01-01,8224.0 
P3_S13,SCA,MIO_EUR_SCA,IE,2016-04-01,8299.5 
P3_S13,SCA,MIO_EUR_SCA,IE,2016-07-01,8449.8 
P3_S13,SCA,MIO_EUR_SCA,IE,2016-10-01,8492.8 
P3_S13,SCA,MIO_EUR_SCA,IE,2017-01-01,8705.1 
P3_S13,SCA,MIO_EUR_SCA,IE,2017-04-01,8833.4 
P3_S13,SCA,MIO_EUR_SCA,IE,2017-07-01,8969.2 
P3_S13,SCA,MIO_EUR_SCA,IE,2017-10-01,9114.6 
P3_S13,SCA,MIO_EUR_SCA,IE,2018-01-01,9168.6 
P3_S13,SCA,MIO_EUR_SCA,IE,2018-04-01,9288.7 
P3_S13,SCA,MIO_EUR_SCA,IT,2015-07-01,78297.8
P3_S13,SCA,MIO_EUR_SCA,IT,2015-10-01,77547.7
P3_S13,SCA,MIO_EUR_SCA,IT,2016-01-01,79129.3 
P3_S13,SCA,MIO_EUR_SCA,IT,2016-04-01,78982.4 
P3_S13,SCA,MIO_EUR_SCA,IT,2016-07-01,79031.2 
P3_S13,SCA,MIO_EUR_SCA,IT,2016-10-01,79512.1 
P3_S13,SCA,MIO_EUR_SCA,IT,2017-01-01,79659.0 
P3_S13,SCA,MIO_EUR_SCA,IT,2017-04-01,79793.1 
P3_S13,SCA,MIO_EUR_SCA,IT,2017-07-01,80175.1 
P3_S13,SCA,MIO_EUR_SCA,IT,2017-10-01,80341.8 
P3_S13,SCA,MIO_EUR_SCA,IT,2018-01-01,80634.2 
P3_S13,SCA,MIO_EUR_SCA,IT,2018-04-01,83681.4 
P3_S13,SCA,MIO_EUR_SCA,LT,2015-07-01,1621.3
P3_S13,SCA,MIO_EUR_SCA,LT,2015-10-01,1662.6
P3_S13,SCA,MIO_EUR_SCA,LT,2016-01-01,1627.7 
P3_S13,SCA,MIO_EUR_SCA,LT,2016-04-01,1646.0 
P3_S13,SCA,MIO_EUR_SCA,LT,2016-07-01,1655.0 
P3_S13,SCA,MIO_EUR_SCA,LT,2016-10-01,1684.3 
P3_S13,SCA,MIO_EUR_SCA,LT,2017-01-01,1704.6 
P3_S13,SCA,MIO_EUR_SCA,LT,2017-04-01,1718.0 
P3_S13,SCA,MIO_EUR_SCA,LT,2017-07-01,1735.5 
P3_S13,SCA,MIO_EUR_SCA,LT,2017-10-01,1757.1 
P3_S13,SCA,MIO_EUR_SCA,LT,2018-01-01,1793.9 
P3_S13,SCA,MIO_EUR_SCA,LT,2018-04-01,1824.2 
P3_S13,SCA,MIO_EUR_SCA,LU,2015-07-01,2157.7
P3_S13,SCA,MIO_EUR_SCA,LU,2015-10-01,2178.3
P3_S13,SCA,MIO_EUR_SCA,LU,2016-01-01,2190.7 
P3_S13,SCA,MIO_EUR_SCA,LU,2016-04-01,2219.1 
P3_S13,SCA,MIO_EUR_SCA,LU,2016-07-01,2236.1 
P3_S13,SCA,MIO_EUR_SCA,LU,2016-10-01,2264.1 
P3_S13,SCA,MIO_EUR_SCA,LU,2017-01-01,2305.1 
P3_S13,SCA,MIO_EUR_SCA,LU,2017-04-01,2342.8 
P3_S13,SCA,MIO_EUR_SCA,LU,2017-07-01,2390.3 
P3_S13,SCA,MIO_EUR_SCA,LU,2017-10-01,2418.3 
P3_S13,SCA,MIO_EUR_SCA,LU,2018-01-01,2438.1 
P3_S13,SCA,MIO_EUR_SCA,LU,2018-04-01,2464.9 
P3_S13,SCA,MIO_EUR_SCA,LV,2015-07-01,1098.3
P3_S13,SCA,MIO_EUR_SCA,LV,2015-10-01,1096.4
P3_S13,SCA,MIO_EUR_SCA,LV,2016-01-01,1113.3 
P3_S13,SCA,MIO_EUR_SCA,LV,2016-04-01,1107.8 
P3_S13,SCA,MIO_EUR_SCA,LV,2016-07-01,1133.4 
P3_S13,SCA,MIO_EUR_SCA,LV,2016-10-01,1159.1 
P3_S13,SCA,MIO_EUR_SCA,LV,2017-01-01,1183.3 
P3_S13,SCA,MIO_EUR_SCA,LV,2017-04-01,1200.4 
P3_S13,SCA,MIO_EUR_SCA,LV,2017-07-01,1212.8 
P3_S13,SCA,MIO_EUR_SCA,LV,2017-10-01,1236.1 
P3_S13,SCA,MIO_EUR_SCA,LV,2018-01-01,1261.9 
P3_S13,SCA,MIO_EUR_SCA,LV,2018-04-01,1295.1 
P3_S13,SCA,MIO_EUR_SCA,MT,2015-07-01,420.1
P3_S13,SCA,MIO_EUR_SCA,MT,2015-10-01,435.1
P3_S13,SCA,MIO_EUR_SCA,MT,2016-01-01,436.0 
P3_S13,SCA,MIO_EUR_SCA,MT,2016-04-01,441.4 
P3_S13,SCA,MIO_EUR_SCA,MT,2016-07-01,388.7 
P3_S13,SCA,MIO_EUR_SCA,MT,2016-10-01,409.2 
P3_S13,SCA,MIO_EUR_SCA,MT,2017-01-01,425.0 
P3_S13,SCA,MIO_EUR_SCA,MT,2017-04-01,429.8 
P3_S13,SCA,MIO_EUR_SCA,MT,2017-07-01,447.1 
P3_S13,SCA,MIO_EUR_SCA,MT,2017-10-01,450.3 
P3_S13,SCA,MIO_EUR_SCA,MT,2018-01-01,462.5 
P3_S13,SCA,MIO_EUR_SCA,MT,2018-04-01,477.9 
P3_S13,SCA,MIO_EUR_SCA,NL,2015-07-01,43289.8
P3_S13,SCA,MIO_EUR_SCA,NL,2015-10-01,43181.1
P3_S13,SCA,MIO_EUR_SCA,NL,2016-01-01,43234.5 p
P3_S13,SCA,MIO_EUR_SCA,NL,2016-04-01,43681.2 p
P3_S13,SCA,MIO_EUR_SCA,NL,2016-07-01,43931.5 p
P3_S13,SCA,MIO_EUR_SCA,NL,2016-10-01,44075.2 p
P3_S13,SCA,MIO_EUR_SCA,NL,2017-01-01,44000.0 p
P3_S13,SCA,MIO_EUR_SCA,NL,2017-04-01,44651.4 p
P3_S13,SCA,MIO_EUR_SCA,NL,2017-07-01,44866.8 p
P3_S13,SCA,MIO_EUR_SCA,NL,2017-10-01,45257.2 p
P3_S13,SCA,MIO_EUR_SCA,NL,2018-01-01,45929.6 p
P3_S13,SCA,MIO_EUR_SCA,NL,2018-04-01,45643.2 p
P3_S13,SCA,MIO_EUR_SCA,NO,2015-07-01,20021.9
P3_S13,SCA,MIO_EUR_SCA,NO,2015-10-01,19604.5
P3_S13,SCA,MIO_EUR_SCA,NO,2016-01-01,19545.5 
P3_S13,SCA,MIO_EUR_SCA,NO,2016-04-01,20310.3 
P3_S13,SCA,MIO_EUR_SCA,NO,2016-07-01,20519.0 
P3_S13,SCA,MIO_EUR_SCA,NO,2016-10-01,21427.1 
P3_S13,SCA,MIO_EUR_SCA,NO,2017-01-01,21714.7 
P3_S13,SCA,MIO_EUR_SCA,NO,2017-04-01,21103.1 
P3_S13,SCA,MIO_EUR_SCA,NO,2017-07-01,21435.2 
P3_S13,SCA,MIO_EUR_SCA,NO,2017-10-01,21244.8 
P3_S13,SCA,MIO_EUR_SCA,NO,2018-01-01,21307.0 
P3_S13,SCA,MIO_EUR_SCA,NO,2018-04-01,21706.5 
P3_S13,SCA,MIO_EUR_SCA,PL,2015-07-01,19133.7
P3_S13,SCA,MIO_EUR_SCA,PL,2015-10-01,19485.1
P3_S13,SCA,MIO_EUR_SCA,PL,2016-01-01,18726.7 
P3_S13,SCA,MIO_EUR_SCA,PL,2016-04-01,18948.8 
P3_S13,SCA,MIO_EUR_SCA,PL,2016-07-01,19232.7 
P3_S13,SCA,MIO_EUR_SCA,PL,2016-10-01,19046.0 
P3_S13,SCA,MIO_EUR_SCA,PL,2017-01-01,19822.3 
P3_S13,SCA,MIO_EUR_SCA,PL,2017-04-01,20469.7 
P3_S13,SCA,MIO_EUR_SCA,PL,2017-07-01,20588.4 
P3_S13,SCA,MIO_EUR_SCA,PL,2017-10-01,21060.1 
P3_S13,SCA,MIO_EUR_SCA,PL,2018-01-01,21543.4 
P3_S13,SCA,MIO_EUR_SCA,PL,2018-04-01,21515.4 
P3_S13,SCA,MIO_EUR_SCA,PT,2015-07-01,8179.0
P3_S13,SCA,MIO_EUR_SCA,PT,2015-10-01,8212.2
P3_S13,SCA,MIO_EUR_SCA,PT,2016-01-01,8245.3 
P3_S13,SCA,MIO_EUR_SCA,PT,2016-04-01,8284.5 
P3_S13,SCA,MIO_EUR_SCA,PT,2016-07-01,8342.7 
P3_S13,SCA,MIO_EUR_SCA,PT,2016-10-01,8424.5 
P3_S13,SCA,MIO_EUR_SCA,PT,2017-01-01,8397.1 
P3_S13,SCA,MIO_EUR_SCA,PT,2017-04-01,8478.5 
P3_S13,SCA,MIO_EUR_SCA,PT,2017-07-01,8549.9 
P3_S13,SCA,MIO_EUR_SCA,PT,2017-10-01,8611.1 
P3_S13,SCA,MIO_EUR_SCA,PT,2018-01-01,8650.3 
P3_S13,SCA,MIO_EUR_SCA,PT,2018-04-01,8686.4 
P3_S13,SCA,MIO_EUR_SCA,RO,2015-07-01,5848.3
P3_S13,SCA,MIO_EUR_SCA,RO,2015-10-01,5502.5
P3_S13,SCA,MIO_EUR_SCA,RO,2016-01-01,6034.5 p
P3_S13,SCA,MIO_EUR_SCA,RO,2016-04-01,6331.1 p
P3_S13,SCA,MIO_EUR_SCA,RO,2016-07-01,6215.0 p
P3_S13,SCA,MIO_EUR_SCA,RO,2016-10-01,6681.1 p
P3_S13,SCA,MIO_EUR_SCA,RO,2017-01-01,6838.4 p
P3_S13,SCA,MIO_EUR_SCA,RO,2017-04-01,6991.7 p
P3_S13,SCA,MIO_EUR_SCA,RO,2017-07-01,7450.9 p
P3_S13,SCA,MIO_EUR_SCA,RO,2017-10-01,7129.6 p
P3_S13,SCA,MIO_EUR_SCA,RO,2018-01-01,7490.2 p
P3_S13,SCA,MIO_EUR_SCA,RO,2018-04-01,7863.3 p
P3_S13,SCA,MIO_EUR_SCA,SE,2015-07-01,28929.7
P3_S13,SCA,MIO_EUR_SCA,SE,2015-10-01,29815.6
P3_S13,SCA,MIO_EUR_SCA,SE,2016-01-01,30176.2 
P3_S13,SCA,MIO_EUR_SCA,SE,2016-04-01,30892.3 
P3_S13,SCA,MIO_EUR_SCA,SE,2016-07-01,30415.3 
P3_S13,SCA,MIO_EUR_SCA,SE,2016-10-01,30227.3 
P3_S13,SCA,MIO_EUR_SCA,SE,2017-01-01,31018.3 
P3_S13,SCA,MIO_EUR_SCA,SE,2017-04-01,30684.7 
P3_S13,SCA,MIO_EUR_SCA,SE,2017-07-01,31466.1 
