indic_il,sex,geo\time,date,value
R_PN_WK,T,IT,2014-01-01,0.64 
R_PN_WK,T,IT,2015-01-01,0.66
R_PN_WK,T,IT,2016-01-01,0.69 
R_PN_WK,T,IT,2017-01-01,0.71 
R_PN_WK,T,LT,2006-01-01,0.44 
R_PN_WK,T,LT,2007-01-01,0.40 
R_PN_WK,T,LT,2008-01-01,0.43 
R_PN_WK,T,LT,2009-01-01,0.48 
R_PN_WK,T,LT,2010-01-01,0.58 
R_PN_WK,T,LT,2011-01-01,0.52 
R_PN_WK,T,LT,2012-01-01,0.45 
R_PN_WK,T,LT,2013-01-01,0.48
R_PN_WK,T,LT,2014-01-01,0.45 
R_PN_WK,T,LT,2015-01-01,0.46
R_PN_WK,T,LT,2016-01-01,0.45 
R_PN_WK,T,LT,2017-01-01,0.43 
R_PN_WK,T,LU,2006-01-01,0.66 
R_PN_WK,T,LU,2007-01-01,0.61 
R_PN_WK,T,LU,2008-01-01,0.58 
R_PN_WK,T,LU,2009-01-01,0.62 
R_PN_WK,T,LU,2010-01-01,0.68 
R_PN_WK,T,LU,2011-01-01,0.74 
R_PN_WK,T,LU,2012-01-01,0.79 
R_PN_WK,T,LU,2013-01-01,0.78
R_PN_WK,T,LU,2014-01-01,0.85 
R_PN_WK,T,LU,2015-01-01,0.8
R_PN_WK,T,LU,2016-01-01,0.88 b
R_PN_WK,T,LU,2017-01-01,0.86 
R_PN_WK,T,LV,2006-01-01,0.49 
R_PN_WK,T,LV,2007-01-01,0.38 
R_PN_WK,T,LV,2008-01-01,0.30 
R_PN_WK,T,LV,2009-01-01,0.34 
R_PN_WK,T,LV,2010-01-01,0.47 
R_PN_WK,T,LV,2011-01-01,0.53 
R_PN_WK,T,LV,2012-01-01,0.49 
R_PN_WK,T,LV,2013-01-01,0.47
R_PN_WK,T,LV,2014-01-01,0.44 
R_PN_WK,T,LV,2015-01-01,0.42
R_PN_WK,T,LV,2016-01-01,0.42 
R_PN_WK,T,LV,2017-01-01,0.43 
R_PN_WK,T,MK,2006-01-01,: 
R_PN_WK,T,MK,2007-01-01,: 
R_PN_WK,T,MK,2008-01-01,: 
R_PN_WK,T,MK,2009-01-01,: 
R_PN_WK,T,MK,2010-01-01,: 
R_PN_WK,T,MK,2011-01-01,: 
R_PN_WK,T,MK,2012-01-01,0.55 
R_PN_WK,T,MK,2013-01-01,0.6
R_PN_WK,T,MK,2014-01-01,0.65 
R_PN_WK,T,MK,2015-01-01,0.7
R_PN_WK,T,MK,2016-01-01,0.72 
R_PN_WK,T,MK,2017-01-01,: 
R_PN_WK,T,MT,2006-01-01,0.45 
R_PN_WK,T,MT,2007-01-01,0.47 
R_PN_WK,T,MT,2008-01-01,0.41 
R_PN_WK,T,MT,2009-01-01,0.45 
R_PN_WK,T,MT,2010-01-01,0.44 
R_PN_WK,T,MT,2011-01-01,0.48 
R_PN_WK,T,MT,2012-01-01,0.46 
R_PN_WK,T,MT,2013-01-01,0.56
R_PN_WK,T,MT,2014-01-01,0.56 
R_PN_WK,T,MT,2015-01-01,0.54
R_PN_WK,T,MT,2016-01-01,0.54 
R_PN_WK,T,MT,2017-01-01,0.56 
R_PN_WK,T,NL,2006-01-01,0.43 
R_PN_WK,T,NL,2007-01-01,0.43 
R_PN_WK,T,NL,2008-01-01,0.43 
R_PN_WK,T,NL,2009-01-01,0.44 
R_PN_WK,T,NL,2010-01-01,0.47 
R_PN_WK,T,NL,2011-01-01,0.46 
R_PN_WK,T,NL,2012-01-01,0.47 
R_PN_WK,T,NL,2013-01-01,0.47
R_PN_WK,T,NL,2014-01-01,0.50 
R_PN_WK,T,NL,2015-01-01,0.52
R_PN_WK,T,NL,2016-01-01,0.50 b
R_PN_WK,T,NL,2017-01-01,0.52 
R_PN_WK,T,NO,2006-01-01,0.46 
R_PN_WK,T,NO,2007-01-01,0.49 
R_PN_WK,T,NO,2008-01-01,0.52 
R_PN_WK,T,NO,2009-01-01,0.52 
R_PN_WK,T,NO,2010-01-01,0.50 
R_PN_WK,T,NO,2011-01-01,0.52 
R_PN_WK,T,NO,2012-01-01,0.53 
R_PN_WK,T,NO,2013-01-01,0.56
R_PN_WK,T,NO,2014-01-01,0.59 
R_PN_WK,T,NO,2015-01-01,0.61
R_PN_WK,T,NO,2016-01-01,0.59 
R_PN_WK,T,NO,2017-01-01,0.59 
R_PN_WK,T,PL,2006-01-01,0.59 
R_PN_WK,T,PL,2007-01-01,0.58 
R_PN_WK,T,PL,2008-01-01,0.56 
R_PN_WK,T,PL,2009-01-01,0.56 
R_PN_WK,T,PL,2010-01-01,0.57 
R_PN_WK,T,PL,2011-01-01,0.55 
R_PN_WK,T,PL,2012-01-01,0.58 
R_PN_WK,T,PL,2013-01-01,0.6
R_PN_WK,T,PL,2014-01-01,0.63 
R_PN_WK,T,PL,2015-01-01,0.62
R_PN_WK,T,PL,2016-01-01,0.62 
R_PN_WK,T,PL,2017-01-01,0.62 
R_PN_WK,T,PT,2006-01-01,0.59 
R_PN_WK,T,PT,2007-01-01,0.47 
R_PN_WK,T,PT,2008-01-01,0.51 
R_PN_WK,T,PT,2009-01-01,0.50 
R_PN_WK,T,PT,2010-01-01,0.53 
R_PN_WK,T,PT,2011-01-01,0.56 
R_PN_WK,T,PT,2012-01-01,0.58 
R_PN_WK,T,PT,2013-01-01,0.59
R_PN_WK,T,PT,2014-01-01,0.63 
R_PN_WK,T,PT,2015-01-01,0.62
R_PN_WK,T,PT,2016-01-01,0.64 
R_PN_WK,T,PT,2017-01-01,0.67 
R_PN_WK,T,RO,2006-01-01,: 
R_PN_WK,T,RO,2007-01-01,0.44 
R_PN_WK,T,RO,2008-01-01,0.50 
R_PN_WK,T,RO,2009-01-01,0.56 
R_PN_WK,T,RO,2010-01-01,0.64 
R_PN_WK,T,RO,2011-01-01,0.67 
R_PN_WK,T,RO,2012-01-01,0.67 
R_PN_WK,T,RO,2013-01-01,0.68
R_PN_WK,T,RO,2014-01-01,0.65 
R_PN_WK,T,RO,2015-01-01,0.63
R_PN_WK,T,RO,2016-01-01,0.66 
R_PN_WK,T,RO,2017-01-01,0.61 
R_PN_WK,T,RS,2006-01-01,: 
R_PN_WK,T,RS,2007-01-01,: 
R_PN_WK,T,RS,2008-01-01,: 
R_PN_WK,T,RS,2009-01-01,: 
R_PN_WK,T,RS,2010-01-01,: 
R_PN_WK,T,RS,2011-01-01,: 
R_PN_WK,T,RS,2012-01-01,: 
R_PN_WK,T,RS,2013-01-01,0.49
R_PN_WK,T,RS,2014-01-01,0.47 
R_PN_WK,T,RS,2015-01-01,0.47
R_PN_WK,T,RS,2016-01-01,0.47 
R_PN_WK,T,RS,2017-01-01,: 
R_PN_WK,T,SE,2006-01-01,0.62 
R_PN_WK,T,SE,2007-01-01,0.63 
R_PN_WK,T,SE,2008-01-01,0.61 b
R_PN_WK,T,SE,2009-01-01,0.60 
R_PN_WK,T,SE,2010-01-01,0.59 
R_PN_WK,T,SE,2011-01-01,0.57 
R_PN_WK,T,SE,2012-01-01,0.55 
R_PN_WK,T,SE,2013-01-01,0.56
R_PN_WK,T,SE,2014-01-01,0.59 
R_PN_WK,T,SE,2015-01-01,0.57
R_PN_WK,T,SE,2016-01-01,0.57 
R_PN_WK,T,SE,2017-01-01,0.57 
R_PN_WK,T,SI,2006-01-01,0.41 
R_PN_WK,T,SI,2007-01-01,0.44 
R_PN_WK,T,SI,2008-01-01,0.44 
R_PN_WK,T,SI,2009-01-01,0.45 
R_PN_WK,T,SI,2010-01-01,0.45 
R_PN_WK,T,SI,2011-01-01,0.47 
R_PN_WK,T,SI,2012-01-01,0.47 
R_PN_WK,T,SI,2013-01-01,0.46
R_PN_WK,T,SI,2014-01-01,0.45 
R_PN_WK,T,SI,2015-01-01,0.46
R_PN_WK,T,SI,2016-01-01,0.47 
R_PN_WK,T,SI,2017-01-01,0.46 
R_PN_WK,T,SK,2006-01-01,0.57 
R_PN_WK,T,SK,2007-01-01,0.54 
R_PN_WK,T,SK,2008-01-01,0.54 
R_PN_WK,T,SK,2009-01-01,0.55 
R_PN_WK,T,SK,2010-01-01,0.61 
R_PN_WK,T,SK,2011-01-01,0.62 
R_PN_WK,T,SK,2012-01-01,0.56 
R_PN_WK,T,SK,2013-01-01,0.61
R_PN_WK,T,SK,2014-01-01,0.62 
R_PN_WK,T,SK,2015-01-01,0.62
R_PN_WK,T,SK,2016-01-01,0.62 
R_PN_WK,T,SK,2017-01-01,0.62 
R_PN_WK,T,TR,2006-01-01,0.97 
R_PN_WK,T,TR,2007-01-01,1.06 
R_PN_WK,T,TR,2008-01-01,1.10 
R_PN_WK,T,TR,2009-01-01,1.21 
R_PN_WK,T,TR,2010-01-01,1.22 
R_PN_WK,T,TR,2011-01-01,1.00 
R_PN_WK,T,TR,2012-01-01,1.01 
R_PN_WK,T,TR,2013-01-01,1.07
R_PN_WK,T,TR,2014-01-01,1.00 
R_PN_WK,T,TR,2015-01-01,1.05
R_PN_WK,T,TR,2016-01-01,: 
R_PN_WK,T,TR,2017-01-01,: 
R_PN_WK,T,UK,2006-01-01,0.45 
R_PN_WK,T,UK,2007-01-01,0.44 
R_PN_WK,T,UK,2008-01-01,0.43 
R_PN_WK,T,UK,2009-01-01,0.44 
R_PN_WK,T,UK,2010-01-01,0.48 
R_PN_WK,T,UK,2011-01-01,0.48 
R_PN_WK,T,UK,2012-01-01,0.50 b
R_PN_WK,T,UK,2013-01-01,0.53
R_PN_WK,T,UK,2014-01-01,0.51 
R_PN_WK,T,UK,2015-01-01,0.5
R_PN_WK,T,UK,2016-01-01,0.53 
R_PN_WK,T,UK,2017-01-01,: 
