unit,nace_r2,na_item,geo\time,date,value
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2017-10-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2018-01-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2018-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2015-07-01,2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2015-10-01,-6.7 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-01-01,-2.9 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-04-01,18.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-07-01,-8.5 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-10-01,-6.4 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2017-01-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2017-04-01,1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2017-07-01,-8.8 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2017-10-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2018-01-01,-2.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2018-04-01,3.9 
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2015-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2015-10-01,1.3 
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2016-01-01,1.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2016-04-01,0.4 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2016-07-01,1.2 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2016-10-01,1.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2017-01-01,1.1 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2017-04-01,0.3 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2017-07-01,-0.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2017-10-01,-1.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2018-01-01,0.4 p
PCH_PRE_PERS_SCA,A,EMP_DC,ES,2018-04-01,-0.3 p
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2015-07-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2015-10-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2016-01-01,-2.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2016-04-01,-0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2016-07-01,-1.2 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2016-10-01,1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2017-01-01,1.3 
