co_nco,sector,finpos,na_item,unit,geotime,date,value
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2002-01-01,135030
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2003-01-01,74529
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2011-01-01,83417
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2012-01-01,118076
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2013-01-01,179733
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2014-01-01,71558
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2015-01-01,15776
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2016-01-01,214994
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2017-01-01,207583
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,1995-01-01,23686
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,1996-01-01,124355
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,1997-01-01,102841
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,1998-01-01,140076
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,1999-01-01,178282
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2000-01-01,130567
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2001-01-01,75928
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2002-01-01,5812
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2003-01-01,26438
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2011-01-01,42263
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2012-01-01,35005
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2013-01-01,57116
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2014-01-01,2356
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2015-01-01,98872
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2016-01-01,115871
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE,2017-01-01,160691
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,1995-01-01,9408
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,1996-01-01,95307
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,1997-01-01,72860
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,1998-01-01,112083
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,1999-01-01,103770
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2000-01-01,266987
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2001-01-01,129492
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2002-01-01,82958
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2003-01-01,139657
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2011-01-01,82069
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2012-01-01,150302
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2013-01-01,58540
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2014-01-01,5108
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2015-01-01,36462
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2016-01-01,46213
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK,2017-01-01,30733
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,1995-01-01,241
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,1996-01-01,511
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,1997-01-01,888
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,1998-01-01,462
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,1999-01-01,100
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2000-01-01,444
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2001-01-01,995
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2002-01-01,1134
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2003-01-01,1263
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2011-01-01,180
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2012-01-01,1227
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2013-01-01,669
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2014-01-01,1129
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2015-01-01,561
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2016-01-01,1307
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE,2017-01-01,842
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,1995-01-01,1412
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,1996-01-01,5423
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,1997-01-01,3837
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,1998-01-01,8310
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,1999-01-01,8186
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2000-01-01,14555
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2001-01-01,16700
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2002-01-01,13091
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2003-01-01,18435
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2011-01-01,13429
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2012-01-01,11186
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2013-01-01,8665
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2014-01-01,4918
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2015-01-01,5009
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2016-01-01,3687
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL,2017-01-01,1400
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,1995-01-01,16729
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,1996-01-01,24694
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,1997-01-01,40367
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,1998-01-01,67337
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,1999-01-01,89084
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2000-01-01,110728
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2001-01-01,102348
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2002-01-01,110757
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2003-01-01,145158
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2011-01-01,40078
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2012-01-01,116938
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2013-01-01,106162
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2014-01-01,71436
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2015-01-01,18931
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2016-01-01,13224
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES,2017-01-01,2073
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,1995-01-01,4267
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,1996-01-01,806
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,1997-01-01,485
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,1998-01-01,6216
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,1999-01-01,11756
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2000-01-01,15934
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2001-01-01,3455
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2002-01-01,11479
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2003-01-01,9677
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2011-01-01,6990
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2012-01-01,14767
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2013-01-01,5657
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2014-01-01,3587
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2015-01-01,14518
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2016-01-01,2958
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FI,2017-01-01,18284
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,1995-01-01,0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,1996-01-01,46862
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,1997-01-01,48603
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,1998-01-01,47012
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,1999-01-01,113769
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2000-01-01,143740
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2001-01-01,128651
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2002-01-01,75955
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2003-01-01,72105
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2011-01-01,131283
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2012-01-01,88584
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2013-01-01,44167
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2014-01-01,69792
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2015-01-01,100628
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2016-01-01,155156
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,FR,2017-01-01,160200
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,1995-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,1996-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,1997-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,1998-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,1999-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2000-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2001-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2002-01-01,30736
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2003-01-01,25861
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2011-01-01,7765
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2012-01-01,9993
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2013-01-01,2038
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2014-01-01,282
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2015-01-01,4605
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2016-01-01,235
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HR,2017-01-01,4231
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,1995-01-01,123996
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,1996-01-01,496666
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,1997-01-01,746578
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,1998-01-01,501399
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,1999-01-01,884631
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2000-01-01,1588085
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2001-01-01,1575808
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2002-01-01,1357142
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2003-01-01,2782934
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2011-01-01,1249561
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2012-01-01,1755701
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2013-01-01,283608
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2014-01-01,28081
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2015-01-01,874240
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,HU,2016-01-01,1078757
