currency,bop_item,sector10,sectpart,partner,stk_flow,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2006-01-01,6460
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2007-01-01,7488
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2016-01-01,17115
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,SK,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,1999-01-01,1188674
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2000-01-01,1510268
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2001-01-01,1566427
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2002-01-01,1605931
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2003-01-01,1887651
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2004-01-01,2224041
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2005-01-01,2792999
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2006-01-01,3008221
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2007-01-01,3794672
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2016-01-01,4181763
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,UK,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,1999-01-01,102972
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2000-01-01,118219
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2001-01-01,128346
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2002-01-01,125332
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2003-01-01,121594
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2004-01-01,135823
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2005-01-01,180197
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2006-01-01,205474
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2007-01-01,215548
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2009-01-01,
