wstatus,indic_il,sex,age,geotime,date,value
UNE,LI_R_MD60,T,Y_GE18,DK,2011-01-01,28
UNE,LI_R_MD60,T,Y_GE18,DK,2012-01-01,27
UNE,LI_R_MD60,T,Y_GE18,DK,2013-01-01,33
UNE,LI_R_MD60,T,Y_GE18,DK,2014-01-01,27
UNE,LI_R_MD60,T,Y_GE18,DK,2015-01-01,37
UNE,LI_R_MD60,T,Y_GE18,DK,2016-01-01,38
UNE,LI_R_MD60,T,Y_GE18,DK,2017-01-01,43
UNE,LI_R_MD60,T,Y_GE18,EA,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,EA,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,EA,2007-01-01,
UNE,LI_R_MD60,T,Y_GE18,EA,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA,2009-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA,2014-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EA,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA18,2005-01-01,37
UNE,LI_R_MD60,T,Y_GE18,EA18,2006-01-01,38
UNE,LI_R_MD60,T,Y_GE18,EA18,2007-01-01,41
UNE,LI_R_MD60,T,Y_GE18,EA18,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA18,2009-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA18,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA18,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA18,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA18,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA18,2014-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA18,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA18,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EA18,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA19,2005-01-01,37
UNE,LI_R_MD60,T,Y_GE18,EA19,2006-01-01,39
UNE,LI_R_MD60,T,Y_GE18,EA19,2007-01-01,42
UNE,LI_R_MD60,T,Y_GE18,EA19,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA19,2009-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EA19,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA19,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EA19,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EA19,2013-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA19,2014-01-01,46
