unit,sex,age,reason,geotime,date,value
PC_SAL,T,Y15-64,INVTMP,NO,2012-01-01,4
PC_SAL,T,Y15-64,INVTMP,NO,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,NO,2014-01-01,3
PC_SAL,T,Y15-64,INVTMP,NO,2015-01-01,4
PC_SAL,T,Y15-64,INVTMP,NO,2016-01-01,4
PC_SAL,T,Y15-64,INVTMP,NO,2017-01-01,4
PC_SAL,T,Y15-64,INVTMP,PL,2005-01-01,12
PC_SAL,T,Y15-64,INVTMP,PL,2006-01-01,20
PC_SAL,T,Y15-64,INVTMP,PL,2007-01-01,20
PC_SAL,T,Y15-64,INVTMP,PL,2008-01-01,19
PC_SAL,T,Y15-64,INVTMP,PL,2009-01-01,19
PC_SAL,T,Y15-64,INVTMP,PL,2010-01-01,20
PC_SAL,T,Y15-64,INVTMP,PL,2011-01-01,16
PC_SAL,T,Y15-64,INVTMP,PL,2012-01-01,17
PC_SAL,T,Y15-64,INVTMP,PL,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,PL,2014-01-01,18
PC_SAL,T,Y15-64,INVTMP,PL,2015-01-01,18
PC_SAL,T,Y15-64,INVTMP,PL,2016-01-01,17
PC_SAL,T,Y15-64,INVTMP,PL,2017-01-01,15
PC_SAL,T,Y15-64,INVTMP,PT,2005-01-01,14
PC_SAL,T,Y15-64,INVTMP,PT,2006-01-01,16
PC_SAL,T,Y15-64,INVTMP,PT,2007-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2008-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2009-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2010-01-01,19
PC_SAL,T,Y15-64,INVTMP,PT,2011-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2012-01-01,17
PC_SAL,T,Y15-64,INVTMP,PT,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,PT,2014-01-01,17
PC_SAL,T,Y15-64,INVTMP,PT,2015-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2016-01-01,18
PC_SAL,T,Y15-64,INVTMP,PT,2017-01-01,18
PC_SAL,T,Y15-64,INVTMP,RO,2005-01-01,1
PC_SAL,T,Y15-64,INVTMP,RO,2006-01-01,1
PC_SAL,T,Y15-64,INVTMP,RO,2007-01-01,1
PC_SAL,T,Y15-64,INVTMP,RO,2008-01-01,1
PC_SAL,T,Y15-64,INVTMP,RO,2009-01-01,0
