unit,sector,s_adj,geotime,date,value
PC,S11,NSA,NO,2015-10-01,22
PC,S11,NSA,NO,2016-01-01,22
PC,S11,NSA,NO,2016-04-01,24
PC,S11,NSA,NO,2016-07-01,26
PC,S11,NSA,NO,2016-10-01,23
PC,S11,NSA,NO,2017-01-01,21
PC,S11,NSA,NO,2017-04-01,23
PC,S11,NSA,NO,2017-07-01,24
PC,S11,NSA,NO,2017-10-01,22
PC,S11,NSA,NO,2018-01-01,19
PC,S11,NSA,NO,2018-04-01,21
PC,S11,NSA,PL,2015-07-01,21
PC,S11,NSA,PL,2015-10-01,31
PC,S11,NSA,PL,2016-01-01,15
PC,S11,NSA,PL,2016-04-01,20
PC,S11,NSA,PL,2016-07-01,19
PC,S11,NSA,PL,2016-10-01,29
PC,S11,NSA,PL,2017-01-01,14
PC,S11,NSA,PL,2017-04-01,19
PC,S11,NSA,PL,2017-07-01,18
PC,S11,NSA,PL,2017-10-01,26
PC,S11,NSA,PL,2018-01-01,14
PC,S11,NSA,PL,2018-04-01,
PC,S11,NSA,PT,2015-07-01,21
PC,S11,NSA,PT,2015-10-01,19
PC,S11,NSA,PT,2016-01-01,22
PC,S11,NSA,PT,2016-04-01,22
PC,S11,NSA,PT,2016-07-01,21
PC,S11,NSA,PT,2016-10-01,21
PC,S11,NSA,PT,2017-01-01,24
PC,S11,NSA,PT,2017-04-01,25
PC,S11,NSA,PT,2017-07-01,21
PC,S11,NSA,PT,2017-10-01,20
PC,S11,NSA,PT,2018-01-01,24
PC,S11,NSA,PT,2018-04-01,25
PC,S11,NSA,RO,2015-07-01,33
PC,S11,NSA,RO,2015-10-01,24
PC,S11,NSA,RO,2016-01-01,22
PC,S11,NSA,RO,2016-04-01,27
PC,S11,NSA,RO,2016-07-01,31
PC,S11,NSA,RO,2016-10-01,20
PC,S11,NSA,RO,2017-01-01,20
PC,S11,NSA,RO,2017-04-01,25
PC,S11,NSA,RO,2017-07-01,31
PC,S11,NSA,RO,2017-10-01,22
PC,S11,NSA,RO,2018-01-01,19
PC,S11,NSA,RO,2018-04-01,
PC,S11,NSA,SE,2015-07-01,24
PC,S11,NSA,SE,2015-10-01,27
PC,S11,NSA,SE,2016-01-01,26
PC,S11,NSA,SE,2016-04-01,27
PC,S11,NSA,SE,2016-07-01,25
PC,S11,NSA,SE,2016-10-01,26
PC,S11,NSA,SE,2017-01-01,27
PC,S11,NSA,SE,2017-04-01,27
PC,S11,NSA,SE,2017-07-01,27
PC,S11,NSA,SE,2017-10-01,27
PC,S11,NSA,SE,2018-01-01,27
PC,S11,NSA,SE,2018-04-01,28
PC,S11,NSA,UK,2015-07-01,18
PC,S11,NSA,UK,2015-10-01,19
PC,S11,NSA,UK,2016-01-01,17
PC,S11,NSA,UK,2016-04-01,17
PC,S11,NSA,UK,2016-07-01,18
PC,S11,NSA,UK,2016-10-01,18
PC,S11,NSA,UK,2017-01-01,17
PC,S11,NSA,UK,2017-04-01,17
PC,S11,NSA,UK,2017-07-01,18
PC,S11,NSA,UK,2017-10-01,18
PC,S11,NSA,UK,2018-01-01,17
PC,S11,NSA,UK,2018-04-01,17
PC,S11,SCA,AT,2015-07-01,25
PC,S11,SCA,AT,2015-10-01,25
PC,S11,SCA,AT,2016-01-01,26
PC,S11,SCA,AT,2016-04-01,26
PC,S11,SCA,AT,2016-07-01,26
PC,S11,SCA,AT,2016-10-01,26
PC,S11,SCA,AT,2017-01-01,26
PC,S11,SCA,AT,2017-04-01,26
PC,S11,SCA,AT,2017-07-01,26
PC,S11,SCA,AT,2017-10-01,26
PC,S11,SCA,AT,2018-01-01,25
PC,S11,SCA,AT,2018-04-01,26
PC,S11,SCA,BE,2015-07-01,24
PC,S11,SCA,BE,2015-10-01,24
PC,S11,SCA,BE,2016-01-01,25
PC,S11,SCA,BE,2016-04-01,25
PC,S11,SCA,BE,2016-07-01,28
PC,S11,SCA,BE,2016-10-01,26
PC,S11,SCA,BE,2017-01-01,25
PC,S11,SCA,BE,2017-04-01,26
PC,S11,SCA,BE,2017-07-01,25
PC,S11,SCA,BE,2017-10-01,26
PC,S11,SCA,BE,2018-01-01,26
PC,S11,SCA,BE,2018-04-01,
PC,S11,SCA,CZ,2015-07-01,29
PC,S11,SCA,CZ,2015-10-01,27
PC,S11,SCA,CZ,2016-01-01,28
PC,S11,SCA,CZ,2016-04-01,28
PC,S11,SCA,CZ,2016-07-01,29
PC,S11,SCA,CZ,2016-10-01,29
PC,S11,SCA,CZ,2017-01-01,27
PC,S11,SCA,CZ,2017-04-01,28
PC,S11,SCA,CZ,2017-07-01,27
PC,S11,SCA,CZ,2017-10-01,28
PC,S11,SCA,CZ,2018-01-01,28
PC,S11,SCA,CZ,2018-04-01,28
PC,S11,SCA,DE,2015-07-01,19
PC,S11,SCA,DE,2015-10-01,20
PC,S11,SCA,DE,2016-01-01,20
PC,S11,SCA,DE,2016-04-01,19
PC,S11,SCA,DE,2016-07-01,20
PC,S11,SCA,DE,2016-10-01,19
PC,S11,SCA,DE,2017-01-01,20
PC,S11,SCA,DE,2017-04-01,20
PC,S11,SCA,DE,2017-07-01,19
PC,S11,SCA,DE,2017-10-01,20
PC,S11,SCA,DE,2018-01-01,20
PC,S11,SCA,DE,2018-04-01,
PC,S11,SCA,DK,2015-07-01,21
PC,S11,SCA,DK,2015-10-01,21
PC,S11,SCA,DK,2016-01-01,22
PC,S11,SCA,DK,2016-04-01,22
PC,S11,SCA,DK,2016-07-01,22
PC,S11,SCA,DK,2016-10-01,22
PC,S11,SCA,DK,2017-01-01,22
PC,S11,SCA,DK,2017-04-01,21
PC,S11,SCA,DK,2017-07-01,23
PC,S11,SCA,DK,2017-10-01,23
PC,S11,SCA,DK,2018-01-01,24
PC,S11,SCA,DK,2018-04-01,27
PC,S11,SCA,EA19,2015-07-01,22
PC,S11,SCA,EA19,2015-10-01,22
PC,S11,SCA,EA19,2016-01-01,22
PC,S11,SCA,EA19,2016-04-01,23
PC,S11,SCA,EA19,2016-07-01,23
PC,S11,SCA,EA19,2016-10-01,23
PC,S11,SCA,EA19,2017-01-01,23
PC,S11,SCA,EA19,2017-04-01,23
PC,S11,SCA,EA19,2017-07-01,22
PC,S11,SCA,EA19,2017-10-01,22
PC,S11,SCA,EA19,2018-01-01,23
PC,S11,SCA,EA19,2018-04-01,23
PC,S11,SCA,EE,2015-07-01,21
PC,S11,SCA,EE,2015-10-01,22
