indic_eu,geotime,date,value
T2020_30,BG,2011-01-01,63
T2020_30,BG,2012-01-01,58
T2020_30,BG,2013-01-01,53
T2020_30,BG,2014-01-01,56
T2020_30,BG,2015-01-01,59
T2020_30,BG,2016-01-01,57
T2020_30,CH,1990-01-01,100
T2020_30,CH,1991-01-01,103
T2020_30,CH,1992-01-01,103
T2020_30,CH,1993-01-01,98
T2020_30,CH,1994-01-01,96
T2020_30,CH,1995-01-01,98
T2020_30,CH,1996-01-01,100
T2020_30,CH,1997-01-01,98
T2020_30,CH,1998-01-01,101
T2020_30,CH,1999-01-01,101
T2020_30,CH,2000-01-01,100
T2020_30,CH,2001-01-01,103
T2020_30,CH,2002-01-01,99
T2020_30,CH,2003-01-01,100
T2020_30,CH,2004-01-01,101
T2020_30,CH,2005-01-01,102
T2020_30,CH,2006-01-01,102
T2020_30,CH,2007-01-01,99
T2020_30,CH,2008-01-01,102
T2020_30,CH,2009-01-01,100
T2020_30,CH,2010-01-01,103
T2020_30,CH,2011-01-01,96
T2020_30,CH,2012-01-01,99
T2020_30,CH,2013-01-01,100
T2020_30,CH,2014-01-01,93
T2020_30,CH,2015-01-01,93
T2020_30,CH,2016-01-01,94
T2020_30,CY,1990-01-01,100
T2020_30,CY,1991-01-01,110
T2020_30,CY,1992-01-01,116
T2020_30,CY,1993-01-01,118
T2020_30,CY,1994-01-01,123
T2020_30,CY,1995-01-01,123
T2020_30,CY,1996-01-01,128
T2020_30,CY,1997-01-01,129
T2020_30,CY,1998-01-01,135
T2020_30,CY,1999-01-01,139
T2020_30,CY,2000-01-01,144
T2020_30,CY,2001-01-01,145
T2020_30,CY,2002-01-01,148
T2020_30,CY,2003-01-01,155
T2020_30,CY,2004-01-01,158
T2020_30,CY,2005-01-01,159
T2020_30,CY,2006-01-01,163
T2020_30,CY,2007-01-01,168
T2020_30,CY,2008-01-01,171
T2020_30,CY,2009-01-01,167
T2020_30,CY,2010-01-01,162
T2020_30,CY,2011-01-01,158
T2020_30,CY,2012-01-01,149
T2020_30,CY,2013-01-01,137
T2020_30,CY,2014-01-01,143
T2020_30,CY,2015-01-01,143
T2020_30,CY,2016-01-01,152
T2020_30,CZ,1990-01-01,100
T2020_30,CZ,1991-01-01,90
T2020_30,CZ,1992-01-01,87
T2020_30,CZ,1993-01-01,83
T2020_30,CZ,1994-01-01,79
T2020_30,CZ,1995-01-01,79
T2020_30,CZ,1996-01-01,80
T2020_30,CZ,1997-01-01,78
T2020_30,CZ,1998-01-01,75
T2020_30,CZ,1999-01-01,70
T2020_30,CZ,2000-01-01,75
T2020_30,CZ,2001-01-01,75
T2020_30,CZ,2002-01-01,73
T2020_30,CZ,2003-01-01,75
T2020_30,CZ,2004-01-01,75
T2020_30,CZ,2005-01-01,74
T2020_30,CZ,2006-01-01,75
T2020_30,CZ,2007-01-01,76
