unit,tax,nace_r2,geotime,date,value
PC,NRG,F,SK,2000-01-01,
PC,NRG,F,SK,2001-01-01,
PC,NRG,F,SK,2002-01-01,
PC,NRG,F,SK,2003-01-01,
PC,NRG,F,SK,2004-01-01,
PC,NRG,F,SK,2005-01-01,
PC,NRG,F,SK,2006-01-01,
PC,NRG,F,SK,2007-01-01,
PC,NRG,F,SK,2008-01-01,2.8
PC,NRG,F,SK,2009-01-01,2.9
PC,NRG,F,SK,2010-01-01,3.0
PC,NRG,F,SK,2011-01-01,2.5
PC,NRG,F,SK,2012-01-01,2.2
PC,NRG,F,SK,2013-01-01,2.6
PC,NRG,F,SK,2014-01-01,4.2
PC,NRG,F,SK,2015-01-01,4.3
PC,NRG,F,SK,2016-01-01,
PC,NRG,F,TR,1995-01-01,
PC,NRG,F,TR,1996-01-01,
PC,NRG,F,TR,1997-01-01,
PC,NRG,F,TR,1998-01-01,
PC,NRG,F,TR,1999-01-01,
PC,NRG,F,TR,2000-01-01,
PC,NRG,F,TR,2001-01-01,
PC,NRG,F,TR,2002-01-01,
PC,NRG,F,TR,2003-01-01,
PC,NRG,F,TR,2004-01-01,
PC,NRG,F,TR,2005-01-01,
PC,NRG,F,TR,2006-01-01,
PC,NRG,F,TR,2007-01-01,
PC,NRG,F,TR,2008-01-01,6.6
PC,NRG,F,TR,2009-01-01,6.7
PC,NRG,F,TR,2010-01-01,6.6
PC,NRG,F,TR,2011-01-01,6.6
PC,NRG,F,TR,2012-01-01,6.5
PC,NRG,F,TR,2013-01-01,6.5
PC,NRG,F,TR,2014-01-01,6.5
PC,NRG,F,TR,2015-01-01,6.5
PC,NRG,F,TR,2016-01-01,6.5
PC,NRG,F,UK,1995-01-01,
PC,NRG,F,UK,1996-01-01,
PC,NRG,F,UK,1997-01-01,1.0
PC,NRG,F,UK,1998-01-01,1.1
PC,NRG,F,UK,1999-01-01,1.5
PC,NRG,F,UK,2000-01-01,1.5
PC,NRG,F,UK,2001-01-01,1.6
PC,NRG,F,UK,2002-01-01,1.7
PC,NRG,F,UK,2003-01-01,1.7
PC,NRG,F,UK,2004-01-01,2.1
PC,NRG,F,UK,2005-01-01,1.9
PC,NRG,F,UK,2006-01-01,1.8
PC,NRG,F,UK,2007-01-01,2.0
PC,NRG,F,UK,2008-01-01,1.9
PC,NRG,F,UK,2009-01-01,1.6
PC,NRG,F,UK,2010-01-01,1.5
PC,NRG,F,UK,2011-01-01,1.5
