indic_bt,s_adj,unit,nace_r2,geotime,date,value
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2015-10-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2016-01-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2016-07-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2016-10-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2017-01-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2017-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2017-07-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2017-10-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2018-01-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2018-04-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2016-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2016-10-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2017-01-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2017-04-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2017-07-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2017-10-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2018-01-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FR,2018-04-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2016-01-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2016-04-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2016-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2016-10-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2017-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2017-04-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2017-07-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2017-10-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2018-01-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HR,2018-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2015-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2016-01-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2016-04-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2016-07-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2016-10-01,115
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2017-01-01,118
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2017-04-01,123
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2017-07-01,126
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2017-10-01,126
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2018-01-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,HU,2018-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2015-07-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2015-10-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2016-01-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2016-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2016-07-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2016-10-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2017-01-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2017-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2017-07-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2017-10-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2018-01-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IE,2018-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2016-07-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2016-10-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2017-01-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2017-04-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2017-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2017-10-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2018-01-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,IT,2018-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2016-04-01,103
