unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,NCO,F4,LIAB,S11,EL,2014-01-01,-1519.4
MIO_NAC,NCO,F4,LIAB,S11,EL,2015-01-01,-1535.4
MIO_NAC,NCO,F4,LIAB,S11,EL,2016-01-01,-665.0
MIO_NAC,NCO,F4,LIAB,S11,EL,2017-01-01,91.9
MIO_NAC,NCO,F4,LIAB,S11,ES,1995-01-01,5563.0
MIO_NAC,NCO,F4,LIAB,S11,ES,1996-01-01,10230.0
MIO_NAC,NCO,F4,LIAB,S11,ES,1997-01-01,19692.0
MIO_NAC,NCO,F4,LIAB,S11,ES,1998-01-01,37232.0
MIO_NAC,NCO,F4,LIAB,S11,ES,1999-01-01,78001.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2000-01-01,116053.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2001-01-01,90464.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2002-01-01,68937.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2003-01-01,67968.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2004-01-01,89959.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2005-01-01,141366.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2006-01-01,234299.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2007-01-01,188163.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2008-01-01,88969.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2009-01-01,-23657.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2010-01-01,35312.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2011-01-01,6254.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2012-01-01,-80260.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2013-01-01,-57969.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2014-01-01,-34644.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2015-01-01,-8400.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2016-01-01,-1252.0
MIO_NAC,NCO,F4,LIAB,S11,ES,2017-01-01,569.0
MIO_NAC,NCO,F4,LIAB,S11,FI,1995-01-01,-972.0
MIO_NAC,NCO,F4,LIAB,S11,FI,1996-01-01,3568.0
MIO_NAC,NCO,F4,LIAB,S11,FI,1997-01-01,2434.0
MIO_NAC,NCO,F4,LIAB,S11,FI,1998-01-01,262.0
MIO_NAC,NCO,F4,LIAB,S11,FI,1999-01-01,7469.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2000-01-01,17648.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2001-01-01,-5034.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2002-01-01,-1692.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2003-01-01,5915.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2004-01-01,5973.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2005-01-01,2562.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2006-01-01,10384.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2007-01-01,17985.0
MIO_NAC,NCO,F4,LIAB,S11,FI,2008-01-01,33642.0
