s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,ES,2018-06-01,33.6 
SA,Y_LT25,F,PC_ACT,ES,2018-07-01,33.1 
SA,Y_LT25,F,PC_ACT,ES,2018-08-01,32.8 
SA,Y_LT25,F,PC_ACT,ES,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EU27,2017-10-01,15.7 
SA,Y_LT25,F,PC_ACT,EU27,2017-11-01,15.6 
SA,Y_LT25,F,PC_ACT,EU27,2017-12-01,15.5 
SA,Y_LT25,F,PC_ACT,EU27,2018-01-01,15.2 
SA,Y_LT25,F,PC_ACT,EU27,2018-02-01,15.0 
SA,Y_LT25,F,PC_ACT,EU27,2018-03-01,14.8 
SA,Y_LT25,F,PC_ACT,EU27,2018-04-01,14.6 
SA,Y_LT25,F,PC_ACT,EU27,2018-05-01,14.2 
SA,Y_LT25,F,PC_ACT,EU27,2018-06-01,14.2 
SA,Y_LT25,F,PC_ACT,EU27,2018-07-01,14.1 
SA,Y_LT25,F,PC_ACT,EU27,2018-08-01,14.0 
SA,Y_LT25,F,PC_ACT,EU27,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EU28,2017-10-01,15.7 
SA,Y_LT25,F,PC_ACT,EU28,2017-11-01,15.7 
SA,Y_LT25,F,PC_ACT,EU28,2017-12-01,15.6 
SA,Y_LT25,F,PC_ACT,EU28,2018-01-01,15.3 
SA,Y_LT25,F,PC_ACT,EU28,2018-02-01,15.1 
SA,Y_LT25,F,PC_ACT,EU28,2018-03-01,14.8 
SA,Y_LT25,F,PC_ACT,EU28,2018-04-01,14.6 
SA,Y_LT25,F,PC_ACT,EU28,2018-05-01,14.3 
SA,Y_LT25,F,PC_ACT,EU28,2018-06-01,14.3 
SA,Y_LT25,F,PC_ACT,EU28,2018-07-01,14.2 
SA,Y_LT25,F,PC_ACT,EU28,2018-08-01,14.1 
SA,Y_LT25,F,PC_ACT,EU28,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,FI,2017-10-01,18.2 
SA,Y_LT25,F,PC_ACT,FI,2017-11-01,17.9 
SA,Y_LT25,F,PC_ACT,FI,2017-12-01,17.7 
SA,Y_LT25,F,PC_ACT,FI,2018-01-01,17.7 
SA,Y_LT25,F,PC_ACT,FI,2018-02-01,17.8 
SA,Y_LT25,F,PC_ACT,FI,2018-03-01,17.8 
SA,Y_LT25,F,PC_ACT,FI,2018-04-01,17.6 
SA,Y_LT25,F,PC_ACT,FI,2018-05-01,17.4 
SA,Y_LT25,F,PC_ACT,FI,2018-06-01,17.3 
SA,Y_LT25,F,PC_ACT,FI,2018-07-01,17.6 
SA,Y_LT25,F,PC_ACT,FI,2018-08-01,17.8 
SA,Y_LT25,F,PC_ACT,FI,2018-09-01,18.0 
SA,Y_LT25,F,PC_ACT,FR,2017-10-01,20.4 
SA,Y_LT25,F,PC_ACT,FR,2017-11-01,20.4 
SA,Y_LT25,F,PC_ACT,FR,2017-12-01,21.0 
SA,Y_LT25,F,PC_ACT,FR,2018-01-01,21.7 
SA,Y_LT25,F,PC_ACT,FR,2018-02-01,21.6 
SA,Y_LT25,F,PC_ACT,FR,2018-03-01,20.9 
SA,Y_LT25,F,PC_ACT,FR,2018-04-01,19.9 
SA,Y_LT25,F,PC_ACT,FR,2018-05-01,19.2 
SA,Y_LT25,F,PC_ACT,FR,2018-06-01,18.7 
SA,Y_LT25,F,PC_ACT,FR,2018-07-01,18.8 
SA,Y_LT25,F,PC_ACT,FR,2018-08-01,18.7 
SA,Y_LT25,F,PC_ACT,FR,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,HR,2017-10-01,28.6 
SA,Y_LT25,F,PC_ACT,HR,2017-11-01,28.6 
SA,Y_LT25,F,PC_ACT,HR,2017-12-01,28.6 
SA,Y_LT25,F,PC_ACT,HR,2018-01-01,29.1 
SA,Y_LT25,F,PC_ACT,HR,2018-02-01,29.1 
SA,Y_LT25,F,PC_ACT,HR,2018-03-01,29.1 
SA,Y_LT25,F,PC_ACT,HR,2018-04-01,27.3 
SA,Y_LT25,F,PC_ACT,HR,2018-05-01,27.3 
SA,Y_LT25,F,PC_ACT,HR,2018-06-01,27.3 
SA,Y_LT25,F,PC_ACT,HR,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,HR,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,HR,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,HU,2017-10-01,12.3 
