countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rkna,rtfpna,rwtfpna,labsh,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k
BDI,Burundi,Burundi Franc,1977,3523.03564453125,3499.76806640625,3.825484,,,1.09647309780121,2796.18383789062,3228.2705078125,3181.52490234375,3137.072265625,4439.30615234375,,,2241.80419921875,1969.23168945313,2242.42749023437,3987.078125,,,0.752922296524048,0.03392993286252,90,0.175705835223198,0.170316770672798,0.172730177640915,Extrapolated,Extrapolated,Market,Regular,,,0.814141035079956,0.137735664844513,0.07719448953867,0.030528346076608,-0.103801235556602,0.04420168325305,0.166045373304639,0.135442220087485,0.277591135739886,0.551414608955383,0.260176509618759,0.175127610564232
BDI,Burundi,Burundi Franc,1978,3305.96313476562,3473.72216796875,3.917866,,,1.09661304950714,2795.7099609375,3292.40063476563,2981.15258789062,3109.72607421875,4800.51708984375,,,2350.99682617188,1984.33874511719,2293.84204101562,4197.17236328125,,,0.752922296524048,0.033731505274773,90,0.212539836764336,0.205312132835388,0.19682340323925,Extrapolated,Extrapolated,Market,Regular,,,0.812892913818359,0.159721657633781,0.086128383874893,0.04048902541399,-0.111297860741615,0.012065858580172,0.198419817317884,0.164629724761528,0.345806806400572,0.311022371053696,0.319118678569794,0.207070231437683
BDI,Burundi,Burundi Franc,1979,3381.75415039063,3600.35791015625,4.018927,,,1.09675288200378,2910.35571289062,3421.046875,3052.54956054687,3215.95385742188,5172.8935546875,,,2389.27587890625,2046.50708007812,2368.23388671875,4414.9501953125,,,0.752922296524048,0.033183485269547,90,0.266246974468231,0.25907164812088,0.245908096432686,Extrapolated,Extrapolated,Market,Regular,,,0.82695883512497,0.158799275755882,0.078015528619289,0.046898171305657,-0.13063195347786,0.019960109144449,0.249740587902416,0.218180442759134,0.441213556762953,0.406579911708832,0.410785496234894,0.26472020149231
BDI,Burundi,Burundi Franc,1980,3356.10302734375,3550.525390625,4.126544,1.92662560939789,,1.09689283370972,2996.11083984375,3484.70922851563,3054.44848632813,3170.20776367187,5504.01025390625,0.203473627567291,0.225860401988029,2345.70849609375,2068.60180664062,2377.82983398437,4612.14990234375,0.850863575935364,0.771508634090424,0.752922296524048,0.032738786190748,90,0.319236546754837,0.310623347759247,0.299281030893326,Extrapolated,Extrapolated,Market,Regular,,,0.872390866279602,0.154121875762939,0.072692528367043,0.031197614967823,-0.125642269849777,-0.004760657437146,0.285032655509589,0.257806611144726,0.729721321281856,0.45125624537468,0.436247736215591,0.307204574346542
BDI,Burundi,Burundi Franc,1981,3556.1796875,3827.46411132812,4.239673,1.98436117172241,,1.10057890415192,3112.32470703125,3707.93603515625,3241.2802734375,3419.31396484375,5888.8505859375,0.212685495615005,0.231915771961212,2601.6875,2164.97900390625,2536.41479492188,4879.6171875,0.914297759532928,0.797309458255768,0.752922296524048,0.032523579895496,90,0.314780622720718,0.305629968643188,0.289716720581055,Extrapolated,Extrapolated,Market,Regular,,,0.834005892276764,0.174190312623978,0.07621318846941,0.038349486887455,-0.114376582205296,-0.00838228687644,0.27592955916817,0.257813769388611,0.739930472037492,0.317458420991898,0.449892461299896,0.304127901792526
BDI,Burundi,Burundi Franc,1982,3501.38598632812,3809.24536132812,4.359122,2.04942941665649,,1.10427749156952,3151.076171875,3772.79272460937,3205.81811523438,3426.12939453125,6240.2236328125,0.208297222852707,0.228991642594337,2590.48071289062,2206.541015625,2589.97973632813,5153.64892578125,0.879279136657715,0.786351859569549,0.752922296524048,0.032326806336641,90,0.334177374839783,0.325297445058823,0.304379761219025,Extrapolated,Extrapolated,Market,Regular,,,0.83664882183075,0.181463271379471,0.083070151507855,0.043730366975069,-0.137590199708939,-0.007322375196964,0.289756553719154,0.280290999848611,0.781565691937813,0.353532582521439,0.487413674592972,0.332924515008926
BDI,Burundi,Burundi Franc,1983,3671.638671875,3913.06494140625,4.486613,2.11714792251587,,1.10798847675323,3175.8642578125,3882.96142578125,3362.61401367187,3536.1279296875,6352.07763671875,0.205833107233047,0.222784802317619,2671.01171875,2250.68334960938,2688.80834960937,5485.16650390625,0.865822792053223,0.779627561569214,0.752922296524048,0.033273868262768,92.9483333331667,0.341785341501236,0.328369706869125,0.312256991863251,Extrapolated,Extrapolated,Market,Regular,,,0.808563590049744,0.199963718652725,0.089555606245995,0.044807277619839,-0.138529568910599,-0.004360584076494,0.295067359920675,0.268114569879978,0.76358426588601,0.360397011041641,0.455548703670502,0.328835844993591
BDI,Burundi,Burundi Franc,1984,3778.966796875,3990.71508789062,4.624617,2.18967080116272,,1.11171197891235,3186.75659179687,3947.7548828125,3446.74755859375,3596.89599609375,6751.3251953125,0.193949654698372,0.206748485565186,2668.35400390625,2252.69873046875,2727.04931640625,5847.095703125,0.822102427482605,0.751535654067993,0.752922296524048,0.034079715609551,119.709166666167,0.306236654520035,0.29118812084198,0.279032766819,Extrapolated,Benchmark,Market,Regular,,,0.80055433511734,0.211570858955383,0.085419721901417,0.038480184972286,-0.135935083031654,-9.00374143384397E-05,0.271415133134938,0.228170816354935,0.632584273265224,0.389776766300201,0.408524483442307,0.276309192180634
BDI,Burundi,Burundi Franc,1985,4179.64111328125,4308.26806640625,4.774258,2.25927472114563,,1.11544799804688,3525.24438476562,4210.71044921875,3827.27392578125,3914.2529296875,7012.04052734375,0.199804127216339,0.207837641239166,2980.17602539062,2464.76440429687,2907.77465820313,6141.439453125,0.882045030593872,0.769810318946839,0.753945708274841,0.034481264650822,120.690749999417,0.319285184144974,0.305227160453796,0.29844468832016,Extrapolated,Benchmark,Market,Regular,,,0.817584991455078,0.175120502710342,0.083032414317131,0.040757305920124,-0.121098078787327,0.004602873232216,0.286737585347953,0.232928926653494,0.639767495580353,0.396762251853943,0.391784965991974,0.283388167619705
BDI,Burundi,Burundi Franc,1986,4378.5361328125,4531.90966796875,4.936429,2.33339047431946,,1.1191965341568,3674.58178710937,4375.23388671875,4008.0185546875,4143.40234375,7428.41259765625,0.20705971121788,0.211296528577805,3093.99951171875,2563.8974609375,3021.75170898437,6439.423828125,0.888003587722778,0.775759994983673,0.732567012310028,0.035044204443693,114.171083333167,0.315240561962128,0.307005703449249,0.296974450349808,Extrapolated,Benchmark,Market,Regular,,,0.803131699562073,0.169100716710091,0.083719581365585,0.042040996253491,-0.107721365988255,0.009728304110467,0.277820560421793,0.263817846625167,0.674215132658701,0.430648744106293,0.447476893663406,0.314476758241653
BDI,Burundi,Burundi Franc,1987,4291.64599609375,4523.3564453125,5.108581,2.40876317024231,,1.12295758724213,3783.71508789062,4477.60400390625,3923.32373046875,4142.03564453125,7756.41552734375,0.197964310646057,0.207552805542946,3220.673828125,2637.99145507812,3094.67602539062,6721.447265625,0.889574348926544,0.764583289623261,0.726587295532227,0.036160178482533,123.563833333333,0.298832833766937,0.295446455478668,0.279846012592316,Extrapolated,Benchmark,Market,Regular,,,0.827941119670868,0.167523607611656,0.085550509393215,0.02891849540174,-0.105568520724773,-0.004365243017674,0.25547802052685,0.276980879295572,0.718412132474237,0.482006222009659,0.494971662759781,0.328241914510727
BDI,Burundi,Burundi Franc,1988,4615.6640625,4919.458984375,5.284173,2.48290467262268,,1.12673139572144,4291.5517578125,4735.978515625,4224.52099609375,4513.904296875,7856.28955078125,0.210168063640594,0.215815261006355,3378.244140625,2996.748046875,3257.248046875,6806.2822265625,0.90231466293335,0.778201282024384,0.711819410324097,0.036151755601168,140.395,0.249450519680977,0.257156997919083,0.240670844912529,Extrapolated,Benchmark,Market,Regular,,,0.859503388404846,0.098457291722298,0.091237083077431,0.028895644471049,-0.081737451255322,0.003644016105682,0.212275858278549,0.331573742800346,0.599656174600752,0.517784357070923,0.550254762172699,0.389568954706192
BDI,Burundi,Burundi Franc,1989,4432.38134765625,4727.93798828125,5.454475,2.55265402793884,,1.13051784038544,4176.74951171875,4664.884765625,4069.619140625,4357.671875,7952.80029296875,0.195627108216286,0.206399694085121,3428.3564453125,2910.65478515625,3223.27026367187,6928.4658203125,0.886288404464722,0.74534946680069,0.719181597232819,0.036141578108072,158.666666666667,0.267477571964264,0.27735835313797,0.259024262428284,Extrapolated,Benchmark,Market,Regular,,,0.864406406879425,0.112017400562763,0.094075538218021,0.024056397378445,-0.087648704648018,-0.006906951777637,0.229261523879969,0.361903628341527,0.618622948342178,0.517291367053986,0.553832948207855,0.418166518211365
BDI,Burundi,Burundi Franc,1990,4481.55078125,4906.630859375,5.613141,2.6130051612854,,1.13431704044342,4833.416015625,5077.29541015625,4202.77001953125,4609.0390625,8055.9111328125,0.198001950979233,0.215318486094475,3548.3427734375,3391.37475585937,3365.9013671875,6870.93994140625,0.9082310795784,0.770630657672882,0.726543724536896,0.03524910658598,171.255416666667,0.250471085309982,0.272538214921951,0.248514980077744,Extrapolated,Benchmark,Market,Regular,,,0.927566587924957,0.052913311868906,0.121115393936634,0.019413329660893,-0.104621522128582,-0.016387071460486,0.225515545589213,0.709883127662522,0.441594111505622,0.559498846530914,0.559168875217438,0.766098260879517
BDI,Burundi,Burundi Franc,1991,4684.3759765625,5160.6044921875,5.759429,2.6343629360199,,1.14132642745972,5030.54345703125,5280.4501953125,4375.28125,4864.5302734375,7906.36865234375,0.205421626567841,0.222050249576569,3737.59350585938,3554.685546875,3511.568359375,6823.876953125,0.952530443668366,0.80050128698349,0.733905911445618,0.034402240067721,181.512583333333,0.240405529737473,0.266142517328262,0.239375278353691,Extrapolated,Benchmark,Market,Regular,,,0.910845756530762,0.051373209804297,0.123281560838223,0.022248230874539,-0.101533658802509,-0.006215045228601,0.223505881253289,0.784220406960367,0.365265807638857,0.592402279376984,0.602900743484497,0.867267489433289
BDI,Burundi,Burundi Franc,1992,4569.31494140625,5076.2666015625,5.895131,2.65708804130554,,1.14837920665741,4901.64013671875,5191.306640625,4258.048828125,4733.9716796875,7809.6513671875,0.18945723772049,0.206420823931694,3805.08422851562,3488.64038085937,3531.78588867187,6813.77001953125,0.963392972946167,0.79984837770462,0.741268038749695,0.033767014741898,208.302666666667,0.22402311861515,0.254589438438416,0.22899466753006,Extrapolated,Benchmark,Market,Regular,,,0.90016520023346,0.061188910156489,0.135252892971039,0.021888608112931,-0.110400669276714,-0.00809492263943,0.21400772253021,0.771822130380446,0.290679804025598,0.515750050544739,0.540080428123474,0.868957221508026
BDI,Burundi,Burundi Franc,1993,4223.13134765625,4720.1611328125,6.019901,2.67993402481079,,1.15547549724579,4525.51513671875,4868.349609375,3928.1923828125,4393.4228515625,7921.4052734375,0.171577095985413,0.187446162104607,3537.64404296875,3228.86791992187,3405.63842773438,6847.91796875,0.878744184970856,0.756695210933685,0.748630225658417,0.033232551068068,242.78,0.220907494425774,0.248119458556175,0.221845477819443,Extrapolated,Benchmark,Market,Regular,,,0.885751843452454,0.078033581376076,0.144314020872116,0.027216672897339,-0.122881457209587,-0.012434605509043,0.228932735803507,0.607325433156952,0.171651180439356,0.53399395942688,0.527911484241486,0.681641757488251
